"","city","data","total"
"685","Fayetteville",1,29322
"686","San Angelo",1,960
"687","San Bernardino",1,12442
"688","Lubbock",2,7896
"689","Culpeper",2,7170
"690","San Antonio",1,11343
"691","Queens",2,8136
"692","Deming",4,30307
"693","Miami",6,154574
"694","Oklahoma City",2,8097
"695","Louisville",2,12583
"696","Spokane Valley",1,135
"697","Ohatchee",1,61147
"698","New Smyrna Beach",2,64474
"699","Evansville",6,145233
"700","Atlanta",1,48869
"701","Oklahoma City",2,7653
"702","Los Lunas",1,4376
"703","Lawton",4,87879
"704","La Vergne",2,69393
"705","St. Augustine",1,20203
"706","Bonnieville",4,127571
"707","Laurel",1,40083
"708","Dania Beach",2,55604
"709","Batesville",2,54855
"710","Lubbock",1,6461
"711","Sacramento",2,2933
"712","Corpus Christi",16,439815
"713","Cocoa",7,19039
"714","Cocoa",2,21179
"715","Gillette",1,47980
"716","Columbus",3,16650
"717","Philadelphia",3,214674
"718","Scottsdale",1,5550
"719","Oklahoma City",1,70704
"720","Winchester",2,8699
"721","Lanham",1,5254
"722","Nederland",2,84196
"723","Oildale",1,2542
"724","Jefferson",5,59329
"725","Baltimore",14,113166
"726","Woodinville",2,3716
"727","Kingston Springs",1,20851
"728","High Point",1,446
"729","Evansville",1,24395
"730","Lilburn",1,13701
"731","Missoula",2,98648
"732","Sedona",2,26473
"733","Rialto",1,30488
"734","Dallas",2,910
"735","Tulsa",1,402
"736","Ventura",1,444
"737","Crestview",1,4668
"738","Jacksonville",1,1711
"739","Kent",1,43689
"740","Detroit",1,20190
"741","Lewistown",3,22917
"742","Oakland",1,932
"743","San Antonio",1,22959
"744","Henderson",2,78557
"745","New Port Richey",2,34370
"746","Beaumont",4,30869
"747","Lynn",3,20968
"748","Winchester",2,8863
"749","Springfield",9,173256
"750","Puyallup",3,109381
"751","Seymour",2,53163
"752","Kenwood",2,30735
"753","Denver",1,26639
"754","Maryville",1,19486
"755","Detroit",2,20077
"756","El Paso",2,65903
"757","Chattanooga",1,2663
"758","Vancouver",1,30894
"759","Salem",3,324286
"760","Bakersfield",1,334
"761","Tucson",3,40493
"762","Cadiz",1,78103
"763","Las Vegas",7,107536
"764","Herriman",2,5611
"765","Lake Worth",1,385
